chapter,scope,mae,rmse,r2,log_r2,spearman,smape,n,model
8483,per_chapter,899197.8602884525,3050337.7410775335,-0.27668133552554264,0.5239988862551521,0.7879448625923077,99.32397406140598,273,GAT_first_none_perproduct
8484,per_chapter,440369.74556241656,1604431.3606253632,-3.273902500688232,0.40920612059928463,0.7795315849844744,97.00580917943354,118,GAT_first_none_perproduct
8486,per_chapter,33987593.06394182,118231151.6353253,0.028991900343290244,0.3040053739307502,0.6220366525955283,133.5876888701491,105,GAT_first_none_perproduct
8487,per_chapter,548037.0576943104,1263931.8244015614,0.5580895218687303,0.41342771047010074,0.6821931589537222,99.18838761460151,71,GAT_first_none_perproduct
8501,per_chapter,662395.9033904875,1990861.9438476714,0.28473230257719895,0.3924446260854906,0.673429731384556,109.75646770937043,480,GAT_first_none_perproduct
8502,per_chapter,835235.4203266965,3036911.7640065993,0.07641904726295734,0.2225354628892725,0.5180332279955422,107.2479113332252,224,GAT_first_none_perproduct
8503,per_chapter,2229007.3267678847,7282239.23519329,0.21780105443910147,0.449725741350565,0.7804878048780488,111.89688843573451,40,GAT_first_none_perproduct
8504,per_chapter,2366977.849860052,11962194.817165894,0.08085132560479469,0.3595722166825047,0.6281591712105857,119.67398436501414,385,GAT_first_none_perproduct
8505,per_chapter,983775.9983118467,3429253.2942471313,-0.2998660581942576,0.3303426645019143,0.7576447033457105,122.16942771773935,137,GAT_first_none_perproduct
8506,per_chapter,542695.4959354074,1330854.9531424893,0.1752289898762328,0.19582095825070234,0.607823812592396,124.79734827419473,185,GAT_first_none_perproduct
8507,per_chapter,3671144.257618968,26364967.833080675,0.10555574272775181,0.2704838307148749,0.6557680796293186,123.12670094141107,243,GAT_first_none_perproduct
8508,per_chapter,576265.7553065665,2944512.896180811,0.15621493987761736,0.38511369678589547,0.6927556195698834,114.7021920585431,132,GAT_first_none_perproduct
8509,per_chapter,883745.5445682263,4424549.088294884,0.37292124297599405,0.4973467190769689,0.7818542389687654,109.7192207407328,109,GAT_first_none_perproduct
8510,per_chapter,344071.91474692523,1004093.7439052239,0.2573302988196936,0.576576127881516,0.797306588899163,112.44616764790129,121,GAT_first_none_perproduct
8511,per_chapter,372920.2324854196,1066191.2252619609,0.23408589275221348,0.35798872939017656,0.6817007981835411,110.10887505479776,251,GAT_first_none_perproduct
8512,per_chapter,854057.5554436939,2877259.997524508,-0.5718454416610426,0.3363839362871205,0.7424814421060626,128.07826710646574,171,GAT_first_none_perproduct
8513,per_chapter,391511.4953860992,2289196.9297937322,0.12365302307593629,0.39336408454982985,0.6315018315018314,116.9315738997847,64,GAT_first_none_perproduct
8514,per_chapter,330648.7919028661,1071550.630487527,0.1965419021999132,0.47184560759546834,0.7249738880324083,101.45273437949083,160,GAT_first_none_perproduct
8515,per_chapter,278204.67854725645,690061.0483782851,0.33217792388206246,0.32965399343155954,0.6879078104355262,110.42019221322758,266,GAT_first_none_perproduct
8516,per_chapter,595106.3219604273,2711345.7327586673,0.3972130001643567,0.42546325247903183,0.6915620574614586,114.60556679800477,486,GAT_first_none_perproduct
8517,per_chapter,13834897.106393086,90469099.8228492,0.09119502920737055,0.42114510622036083,0.68229485200302,118.36985285679556,269,GAT_first_none_perproduct
8518,per_chapter,598585.8061929316,1864457.5477670294,0.7108834634652571,0.564301131723677,0.7837797220464218,103.97174859617793,294,GAT_first_none_perproduct
8519,per_chapter,199821.47469761767,805098.7945857836,0.3037590875340306,0.2415957350983512,0.5574692230393361,117.42971235511308,106,GAT_first_none_perproduct
8521,per_chapter,650734.7963337821,2218847.5751108504,0.08277087620522483,0.27575643614805523,0.6825091575091574,133.01950170957076,64,GAT_first_none_perproduct
8522,per_chapter,549069.9349211892,1723665.5037085633,0.025459486943419818,0.32527011776587544,0.5823677173648814,112.63558432971558,42,GAT_first_none_perproduct
8523,per_chapter,1382187.0229143975,5722012.059655058,0.003304431915307715,0.39588875575872917,0.6870706573152798,124.79326932424178,288,GAT_first_none_perproduct
8525,per_chapter,1968903.8742349285,8948645.428248731,0.08391974428765148,0.45794626722464327,0.7304728204493279,113.85852478762517,111,GAT_first_none_perproduct
8526,per_chapter,1556354.310256656,4797942.183644844,-0.8252115937356874,0.550331755706943,0.8293813047505884,108.9317320471904,114,GAT_first_none_perproduct
8527,per_chapter,237072.07899656435,1211655.7590428563,0.13939375745092286,0.40480561820490546,0.670647409798966,111.724336355039,227,GAT_first_none_perproduct
8528,per_chapter,1462076.9686735526,7502500.115607063,0.1110320876622366,0.2621827948639698,0.5830012925158908,124.2249279806586,309,GAT_first_none_perproduct
8529,per_chapter,3812685.3829959263,16477131.319714349,0.19065691636066273,0.4989535844889039,0.8129177958446251,98.86821271489511,81,GAT_first_none_perproduct
8530,per_chapter,199433.01412968122,375133.1146745855,0.1754644578441873,0.32271936914626476,0.673214756933319,97.63350864558765,80,GAT_first_none_perproduct
8531,per_chapter,985364.3443656937,3200413.638474955,-1.9416255520486732,0.5201018010590568,0.7989396146780324,104.04720252206793,142,GAT_first_none_perproduct
8532,per_chapter,2710468.479376253,12312759.71964342,0.026099702056834317,0.19479411331012086,0.5476686587350139,131.60116249866172,236,GAT_first_none_perproduct
8533,per_chapter,668993.6114825528,2285548.7790217497,0.06121900308958583,0.3047183588719107,0.7073833606061558,130.02774220713468,196,GAT_first_none_perproduct
8534,per_chapter,8920441.942189155,29675618.781570025,0.03595777119412735,0.5935007877330643,0.8170731707317074,122.93763106843886,41,GAT_first_none_perproduct
8535,per_chapter,292091.40282703814,737468.5513516624,0.15089351670163242,0.24681929885759823,0.6227028957435196,115.51657882474515,198,GAT_first_none_perproduct
8536,per_chapter,1368557.5857328754,5307556.572921138,0.16596111415373804,0.42853611619415666,0.754853572247657,114.91852565062395,395,GAT_first_none_perproduct
8537,per_chapter,2531488.6231364864,6041443.2326351125,0.590888485577146,0.4368061308875184,0.7461960174289229,103.21431682869992,81,GAT_first_none_perproduct
8538,per_chapter,1841142.823560388,5145721.4107628185,0.20138517509006948,0.5395407556302023,0.768221939247505,106.03821387987192,82,GAT_first_none_perproduct
8539,per_chapter,281518.6394412421,1699941.2755837976,0.17799342553157915,0.4486087306673717,0.7411334587316849,111.64060295606784,372,GAT_first_none_perproduct
8540,per_chapter,245923.29634042308,708993.2843014826,0.007678934976707463,0.20525731509970158,0.5194980059555322,120.67839998237943,186,GAT_first_none_perproduct
8541,per_chapter,7340798.494956841,24754930.543649297,0.17115957208786003,0.3573094182781884,0.6773841386361632,125.90720706332252,210,GAT_first_none_perproduct
8542,per_chapter,57100987.077101685,196598063.50754824,-0.0408441997387039,0.5523179214752997,0.8065480128672958,125.70517927617371,168,GAT_first_none_perproduct
8543,per_chapter,1853415.5822698022,7785959.22403638,0.15819010561441282,0.3983364115390544,0.676568811662975,115.17381824078794,169,GAT_first_none_perproduct
8544,per_chapter,2483132.5758516206,8332497.323007157,0.0725253767428804,0.28992212584089516,0.6391221472375279,117.12256094254481,312,GAT_first_none_perproduct
8545,per_chapter,988657.6753376074,3339504.5216242233,0.2633788259169606,0.3072318572666527,0.6114170496606265,123.44385979425479,116,GAT_first_none_perproduct
8546,per_chapter,195416.75125082646,423292.11559203797,0.17800707347194444,0.2726357369217721,0.6494071204255756,107.50477821593498,85,GAT_first_none_perproduct
8547,per_chapter,399161.15685264877,931599.0578252053,0.501252679281943,0.31218951643519965,0.6615933993303077,110.74340079548305,96,GAT_first_none_perproduct
8548,per_chapter,1856102.4156240162,4721629.95698419,0.16918761237411495,0.12679598153444482,0.4604056682411782,122.95713520087033,60,GAT_first_none_perproduct
8606,per_chapter,5092221.8909999365,13985385.184277836,-0.06487795782408479,0.08266662805983493,0.46748943580603036,137.93920257289295,50,GAT_first_none_perproduct
8607,per_chapter,841564.8657511324,2768377.9571426534,-0.036088861545802375,0.23025849799887343,0.5591924438296316,122.8257856957758,164,GAT_first_none_perproduct
8609,per_chapter,1203999.9146653127,4733782.04770063,0.8544064034683365,0.3703475772848803,0.600871080139373,93.8628583832308,41,GAT_first_none_perproduct
8701,per_chapter,2092975.6774690584,7346895.4492846085,-0.009853820158330029,0.09521195434973262,0.4324959144087287,115.744003164578,206,GAT_first_none_perproduct
8702,per_chapter,1986215.262816711,4349001.791833415,0.09159984829634993,-0.04699126366856743,0.2249973327643231,123.31372411926664,104,GAT_first_none_perproduct
8703,per_chapter,7824199.293775739,27456156.34080771,0.03395923290822911,0.3299811417376344,0.6325843429183657,117.92311575269538,427,GAT_first_none_perproduct
8704,per_chapter,3988301.4310330623,17648577.97135114,-0.008223780178786999,0.2853937068689907,0.5780765791128565,109.7370499571468,210,GAT_first_none_perproduct
8705,per_chapter,856074.91638145,1870511.0297037696,0.12957361574746573,0.17296295169079623,0.5078199489572499,92.53158931439604,121,GAT_first_none_perproduct
